date,btcusdt_close,ethusdt_close
2024-03-01,62387.9,3433.43
2024-03-02,61987.28,3421.4
2024-03-03,63113.97,3487.81
2024-03-04,68245.71,3627.76
2024-03-05,63724.01,3553.65
2024-03-06,66074.04,3818.59
2024-03-07,66823.17,3868.76
2024-03-08,68124.19,3883.36
2024-03-09,68313.27,3905.21
2024-03-10,68955.88,3878.47
2024-03-11,72078.1,4064.8
2024-03-12,71452.01,3979.96
2024-03-13,73072.41,4004.79
2024-03-14,71388.94,3881.7
2024-03-15,69499.85,3742.19
2024-03-16,65300.63,3523.09
2024-03-17,68393.48,3644.71
2024-03-18,67609.99,3520.46
2024-03-19,61937.4,3158.64
2024-03-20,67840.51,3516.53
2024-03-21,65501.27,3492.85
2024-03-22,63796.64,3336.35
2024-03-23,63990.01,3329.53
2024-03-24,67209.99,3454.98
2024-03-25,69880.01,3590.42
2024-03-26,69988.0,3587.33
2024-03-27,69469.99,3501.19
2024-03-28,70780.6,3560.49
2024-03-29,69850.54,3509.74
2024-03-30,69582.18,3505.64
2024-03-31,71280.01,3645.29
2024-04-01,69649.8,3503.8
2024-04-02,65463.99,3278.96
2024-04-03,65963.28,3310.83
2024-04-04,68487.79,3327.4
2024-04-05,67820.62,3317.85
2024-04-06,68896.0,3351.59
2024-04-07,69360.39,3454.2
2024-04-08,71620.0,3694.61
2024-04-09,69146.0,3506.39
2024-04-10,70631.08,3545.64
2024-04-11,70006.23,3502.52
2024-04-12,67116.52,3237.43
2024-04-13,63924.51,3007.01
2024-04-14,65661.84,3155.11
2024-04-15,63419.99,3101.99
2024-04-16,63793.39,3084.22
2024-04-17,61277.37,2985.41
2024-04-18,63470.08,3064.4
2024-04-19,63818.01,3056.46
2024-04-20,64940.59,3155.79
2024-04-21,64941.15,3147.67
2024-04-22,66819.32,3200.2
2024-04-23,66414.0,3219.46
2024-04-24,64289.59,3140.8
2024-04-25,64498.34,3155.8
2024-04-26,63770.01,3131.3
2024-04-27,63461.98,3255.56
2024-04-28,63118.62,3263.45
2024-04-29,63866.0,3216.73
2024-04-30,60672.0,3014.05
2024-05-01,58364.97,2972.46
2024-05-02,59060.61,2986.19
2024-05-03,62882.01,3102.61
2024-05-04,63892.04,3117.23
2024-05-05,64012.0,3136.41
2024-05-06,63165.19,3062.6
2024-05-07,62312.08,3005.69
2024-05-08,61193.03,2974.21
2024-05-09,63074.01,3036.23
2024-05-10,60799.99,2909.99
2024-05-11,60825.99,2912.45
2024-05-12,61483.99,2929.29
2024-05-13,62940.08,2950.99
2024-05-14,61577.49,2881.93
2024-05-15,66206.5,3032.55
2024-05-16,65235.21,2944.7
2024-05-17,67024.0,3092.01
2024-05-18,66915.2,3122.94
2024-05-19,66274.01,3071.19
2024-05-20,71446.62,3661.78
2024-05-21,70148.34,3789.6
2024-05-22,69166.62,3737.73
2024-05-23,67969.65,3783.61
2024-05-24,68549.99,3728.28
2024-05-25,69290.57,3749.26
2024-05-26,68507.67,3826.47
2024-05-27,69436.43,3894.22
2024-05-28,68398.39,3844.69
2024-05-29,67652.42,3767.43
2024-05-30,68352.17,3747.91
2024-05-31,67540.01,3762.29
2024-06-01,67766.85,3815.82
2024-06-02,67765.63,3780.91
2024-06-03,68809.9,3767.06
2024-06-04,70537.84,3810.23
2024-06-05,71108.0,3865.99
2024-06-06,70799.06,3813.46
2024-06-07,69355.6,3678.32
2024-06-08,69310.46,3681.57
2024-06-09,69648.14,3706.4
2024-06-10,69540.0,3667.85
2024-06-11,67314.24,3497.33
2024-06-12,68263.99,3560.12
2024-06-13,66773.01,3469.4
2024-06-14,66043.99,3481.8
2024-06-15,66228.25,3568.74
2024-06-16,66676.87,3624.41
2024-06-17,66504.33,3511.46
2024-06-18,65175.32,3483.42
2024-06-19,64974.37,3560.51
2024-06-20,64869.99,3513.08
2024-06-21,64143.56,3518.5
2024-06-22,64262.01,3495.75
2024-06-23,63210.01,3420.91
2024-06-24,60293.3,3352.73
2024-06-25,61806.01,3394.91
2024-06-26,60864.99,3371.44
2024-06-27,61706.47,3450.44
2024-06-28,60427.84,3380.15
2024-06-29,60986.68,3378.8
2024-06-30,62772.01,3438.16
2024-07-01,62899.99,3442.2
2024-07-02,62135.47,3421.35
2024-07-03,60208.58,3295.48
2024-07-04,57050.01,3059.7
2024-07-05,56628.79,2981.78
2024-07-06,58230.13,3066.83
2024-07-07,55857.81,2931.0
2024-07-08,56714.62,3019.01
2024-07-09,58050.0,3066.65
2024-07-10,57725.85,3101.05
2024-07-11,57339.89,3099.57
2024-07-12,57889.1,3133.88
2024-07-13,59204.02,3175.93
2024-07-14,60797.91,3245.08
2024-07-15,64724.14,3483.39
2024-07-16,65043.99,3444.13
2024-07-17,64087.99,3387.05
2024-07-18,63987.92,3426.5
2024-07-19,66660.0,3503.53
2024-07-20,67139.96,3517.5
2024-07-21,68165.34,3535.92
2024-07-22,67532.01,3439.6
2024-07-23,65936.01,3482.51
2024-07-24,65376.0,3335.81
2024-07-25,65799.95,3175.48
2024-07-26,67907.99,3274.61
2024-07-27,67896.5,3249.01
2024-07-28,68249.88,3270.16
2024-07-29,66784.69,3317.66
2024-07-30,66188.0,3279.21
2024-07-31,64628.0,3232.74
2024-08-01,65354.02,3203.4
2024-08-02,61498.33,2989.61
2024-08-03,60697.99,2903.64
2024-08-04,58161.0,2688.92
2024-08-05,54018.81,2419.59
2024-08-06,56022.01,2461.33
2024-08-07,55134.16,2342.8
2024-08-08,61685.99,2682.5
2024-08-09,60837.99,2598.78
2024-08-10,60923.51,2609.92
2024-08-11,58712.59,2555.38
2024-08-12,59346.64,2722.3
2024-08-13,60587.15,2702.44
2024-08-14,58683.39,2661.45
2024-08-15,57541.06,2569.89
2024-08-16,58874.6,2592.73
2024-08-17,59491.99,2614.51
2024-08-18,58427.35,2612.15
2024-08-19,59438.5,2636.36
2024-08-20,59013.8,2572.82
2024-08-21,61156.03,2630.71
2024-08-22,60375.84,2622.88
2024-08-23,64037.24,2762.48
2024-08-24,64157.01,2768.0
2024-08-25,64220.0,2746.13
2024-08-26,62834.0,2680.49
2024-08-27,59415.0,2457.33
2024-08-28,59034.9,2528.33
2024-08-29,59359.01,2527.61
2024-08-30,59123.99,2526.0
2024-08-31,58973.99,2513.01
2024-09-01,57301.86,2425.72
2024-09-02,59132.13,2538.01
2024-09-03,57487.73,2425.29
2024-09-04,57970.9,2450.71
2024-09-05,56180.0,2368.81
2024-09-06,53962.97,2225.23
2024-09-07,54160.86,2273.58
2024-09-08,54869.95,2297.3
2024-09-09,57042.0,2359.5
2024-09-10,57635.99,2388.52
2024-09-11,57338.0,2340.55
2024-09-12,58132.32,2361.76
2024-09-13,60498.0,2439.19
2024-09-14,59993.03,2417.79
2024-09-15,59132.0,2316.1
